word,meaning
crosses,[三单] 十字架
crowds,[三单] 群众
crushes,[三单] 压碎
cries,[三单] 叫声
cues,[三单] 提示
curbs,[三单] 抑制
cures,[三单] 治疗
curls,[三单] 拳曲
curves,[三单] 曲线
cuts,[三单] 切口
cycles,[三单] 周期
dabs,[三单] 少量
dams,[三单] 水坝
damages,[三单] 损害
dances,[三单] 跳舞
dares,[三单] 挑战
dates,[三单] 日期
deals,[三单] 交易
debates,[三单] 辩论
decides,[三单] 决定
defeats,[三单] 败北
defends,[三单] 防护
defines,[三单] 定义
delays,[三单] 耽搁
demands,[三单] 要求
denies,[三单] 否认
depends,[三单] 靠
describes,[三单] 描述
designs,[三单] 设计
desires,[三单] 欲望
details,[三单] 细节
determines,[三单] 决定
develops,[三单] 发展
dies,[三单] 死亡
digs,[三单] 挖
dips,[三单] 浸
discusses,[三单] 讨论
dishes,[三单] 盘子
divides,[三单] 分开
doubts,[三单] 怀疑
drafts,[三单] 气流
drags,[三单] 拖
draws,[三单] 拉
dreams,[三单] 梦
dresses,[三单] 服装
drinks,[三单] 饮料
drives,[三单] 驾车
drops,[三单] 滴
drums,[三单] 鼓
dubs,[三单] 配音
dumps,[三单] 垃圾场
vt. 倾倒
dyes,[三单] 颜料
earns,[三单] 赚得
eats,[三单] 吃
echoes,[三单] 回声
edges,[三单] 边缘
edits,[三单] 编辑
effects,[三单] 结果
elects,[三单] 当选人
emerges,[三单] 浮现
ends,[三单] 结束
engages,[三单] 答应
enjoys,[三单] 享受
ensures,[三单] 确定
enters,[三单] 进入
escapes,[三单] 逃亡
establishes,[三单] 建立
exists,[三单] 存在
exits,[三单] 出口
expands,[三单] 使膨胀
expects,[三单] 预期
explains,[三单] 解释
exports,[三单] 输出品
extends,[三单] 扩充
eyes,[三单] 眼睛
faces,[三单] 脸
fades,[三单] 褪色
fails,[三单] 失败
falls,[三单] 落下
farms,[三单] 农场
fears,[三单] 恐怖
feeds,[三单] 饲料
feels,[三单] 感觉
fences,[三单] 围墙
fields,[三单] 领域
fights,[三单] 打架
figures,[三单] 数字
files,[三单] 档案
fills,[三单] 装满
films,[三单] 软片
finds,[三单] 发现
finishes,[三单] 完成
fires,[三单] 火
fishes,[三单] 鱼
fits,[三单] 适宜
fixes,[三单] 使固定
flags,[三单] 标志
flames,[三单] 火焰
flashes,[三单] 闪光
flees,[三单] 逃避
fleshes,[三单] 肉
floats,[三单] 漂流物
floods,[三单] 洪水
flows,[三单] 流程
flowers,[三单] 花
flies,[三单] 苍蝇
focuses,[三单] 焦点
fogs,[三单] 雾
folds,[三单] 折层
follows,[三单] 跟随
forces,[三单] 力量
forgets,[三单] 忘记
forks,[三单] 叉子
forms,[三单] 形状
forwards,[三单] 向前的
frames,[三单] 框
fries,[三单] 油炸食物
fuels,[三单] 燃料
funds,[三单] 基金
gags,[三单] 箝口物
gains,[三单] 增益
games,[三单] 比赛
gangs,[三单] 队
gardens,[三单] 花园
gases,[三单] 气体
gates,[三单] 门
gathers,[三单] 集合
gears,[三单] 齿轮
gets,[三单] 得到
gifts,[三单] 礼物
gives,[三单] 弹性
glues,[三单] 胶
grabs,[三单] 抓握
grades,[三单] 等级
grips,[三单] 紧握
grounds,[三单] 土地
grows,[三单] 种植
growths,[三单] 生长
guards,[三单] 守卫者
guesses,[三单] 猜测
guides,[三单] 引导者
guns,[三单] 枪
枪
hams,[三单] 火腿
hands,[三单] 手
handles,[三单] 柄
hangs,[三单] 悬挂
happens,[三单] 发生
harms,[三单] 伤害
hates,[三单] 憎恨
has,[三单] 有
heads,[三单] 头
heals,[三单] 痊愈
vt. 使复原
hears,[三单] 听到
heats,[三单] 热
helps,[三单] 帮忙
hides,[三单] 兽皮
hints,[三单] 暗示
hires,[三单] 租金
hits,[三单] 打击
holds,[三单] 把握
holes,[三单] 孔
hooks,[三单] 钩
hops,[三单] 单脚跳
hopes,[三单] 希望
horses,[三单] 马
houses,[三单] 房子
hugs,[三单] 紧抱
hunts,[三单] 狩猎
hurries,[三单] 匆忙
hurts,[三单] 伤害
identifies,[三单] 识别
ignores,[三单] 不理睬
imagines,[三单] 想像
impacts,[三单] 冲击
implies,[三单] 暗示
imports,[三单] 进口货
imposes,[三单] 征(税)
includes,[三单] 包括
increases,[三单] 增加
indexes,[三单] 索引
indicates,[三单] 显示
inks,[三单] 墨水
insists,[三单] 坚持
intends,[三单] 计划
interests,[三单] 兴趣
invites,[三单] 邀请
involves,[三单] 包括
irons,[三单] 铁
issues,[三单] 发行
jams,[三单] 果酱
jazzes,[三单] 爵士乐
jets,[三单] 喷射流
jogs,[三单] 轻推
joins,[三单] 参加
jokes,[三单] 笑话
jots,[三单] 少量
judges,[三单] 法官
juices,[三单] 汁
jumps,[三单] 跳跃
keeps,[三单] 生计
keys,[三单] 钥匙
kicks,[三单] 踢
kids,[三单] 小山羊
kills,[三单] 杀
kisses,[三单] 吻
vt. 吻
vi. 接吻
knits,[三单] 编织
knocks,[三单] 敲
knows,[三单] 知道
labels,[三单] 标签
lacks,[三单] 缺乏
lags,[三单] 落后
lands,[三单] 陆地
laps,[三单] 膝盖
laughs,[三单] 笑
launches,[三单] 下水
leads,[三单] 铅
leaks,[三单] 漏洞
leaps,[三单] 跳跃
learns,[三单] 学习；认识到；得知
leaves,[三单] 许可
lends,[三单] 借
lets,[三单] 让
levels,[三单] 水平
lies,[三单] 谎言
lifts,[三单] 举起
likes,[三单] 相似的
limits,[三单] 界限
lines,[三单] 列
links,[三单] 环
lists,[三单] 目录
listens,[三单] 听
loads,[三单] 负荷
loans,[三单] 贷款
locks,[三单] 锁
logs,[三单] 记录
looks,[三单] 一看
loses,[三单] 遗失
loves,[三单] 爱
lumps,[三单] 块
mails,[三单] 邮件
maintains,[三单] 维持
makes,[三单] 制造
manages,[三单] 处理
vt. 管理
maps,[三单] 地图
markets,[三单] 市场
marries,[三单] 与...结婚
masks,[三单] 面具
masters,[三单] 主人
matches,[三单] 比赛
matters,[三单] 事件
meets,[三单] 会
melts,[三单] 熔化
messes,[三单] 食堂
messages,[三单] 消息
milks,[三单] 奶
minds,[三单] 思想
mines,[三单] 矿
misses,[三单] 失误
mixes,[三单] 混合物
models,[三单] 模型
mops,[三单] 拖把
mounts,[三单] 乘骑用马
mouths,[三单] 嘴
moves,[三单] 移动
mows,[三单] 草堆
murders,[三单] 谋杀
vt. 谋杀
nags,[三单] 老马
nails,[三单] 钉子
names,[三单] 名字
needs,[三单] 需要
nets,[三单] 网
networks,[三单] 网络
nods,[三单] 点头
notes,[三单] 笔记
notices,[三单] 注意
nurses,[三单] 护士
obeys,[三单] 服从
objects,[三单] 物体
occupies,[三单] 占领
occurs,[三单] 发生
offers,[三单] 给予(物)
oils,[三单] 油
operates,[三单] 操作
opts,[三单] 选择
orders,[三单] 次序
owes,[三单] 亏欠
packs,[三单] 包裹
paints,[三单] 油漆
pairs,[三单] 一双
pans,[三单] 平锅
parks,[三单] 公园
parts,[三单] 部分
parties,[三单] 宴会
passes,[三单] 经过
pasts,[三单] 过去
pauses,[三单] 暂停
pays,[三单] 薪资
peaks,[三单] 山峰
pees,[三单] (英)便士
peers,[三单] 同等的人
pens,[三单] 钢笔
pets,[三单] 宠物
phases,[三单] 时期
phones,[三单] 电话
picks,[三单] 精选
piles,[三单] 堆
pins,[三单] 大头针
pipes,[三单] 管
pits,[三单] 深坑
pities,[三单] 遗憾
places,[三单] 地方
plans,[三单] 计划
plants,[三单] 植物
plays,[三单] 游戏
plugs,[三单] 塞子
points,[三单] 点
polls,[三单] 投票
pools,[三单] 池
pops,[三单] 砰然声
poses,[三单] 姿势
positions,[三单] 位置
posts,[三单] 柱
pounds,[三单] 磅
pours,[三单] 流出
powers,[三单] 力
practices,[三单] 实践
prefers,[三单] 宁可
prepares,[三单] 准备
presses,[三单] 压
prices,[三单] 价格
prides,[三单] 骄傲
prints,[三单] 打印
prizes,[三单] 奖赏
processes,[三单] 程序
produces,[三单] 生产品
programs,[三单] 节目
projects,[三单] 计划
protects,[三单] 防卫
proves,[三单] 证明
provides,[三单] 提供
pulls,[三单] 拉
pumps,[三单] 抽水机
punches,[三单] 打洞器
pushes,[三单] 推
puts,[三单] 放
questions,[三单] 问题
quits,[三单] 离开
quotes,[三单] 引用
vt. 引述
races,[三单] 种族
rages,[三单] 愤怒
rains,[三单] 雨
raises,[三单] 上升
ranges,[三单] 排
ranks,[三单] 等级
raps,[三单] 轻敲
rapes,[三单] 抢夺
rats,[三单] 鼠
rates,[三单] 比率
reaches,[三单] 伸出
reacts,[三单] 起反应
reads,[三单] 读
realizes,[三单] 了解
reasons,[三单] 理由
recalls,[三单] 回忆
receives,[三单] 收到
recognizes,[三单] 认出
records,[三单] 记录
reduces,[三单] 减少
reforms,[三单] 改革
refuses,[三单] 拒绝
rejects,[三单] 被拒之人
relates,[三单] 讲
relaxes,[三单] 放松
releases,[三单] 释放
relies,[三单] 信赖
remembers,[三单] 记得
reminds,[三单] 提醒
removes,[三单] 移动
rents,[三单] 租金
repeats,[三单] 重复
replies,[三单] 答复
reports,[三单] 报告
represents,[三单] 表现
requires,[三单] 需要
researches,[三单] 研究
responds,[三单] 以...回答
vi. 回答
rests,[三单] 休息
results,[三单] 结果
returns,[三单] 回来
reveals,[三单] 露出
reviews,[三单] 检讨
rids,[三单] 免除
rides,[三单] 骑马
rings,[三单] 环
riots,[三单] 暴动
rips,[三单] 裂痕
rises,[三单] 上升
risks,[三单] 冒险
rocks,[三单] 岩石
rolls,[三单] 卷
roofs,[三单] 屋顶
roots,[三单] 根
ropes,[三单] 绳
rots,[三单] 腐烂
routes,[三单] 路径
rubs,[三单] 摩擦
ruins,[三单] 毁灭
rules,[三单] 规则
runs,[三单] 跑
rushes,[三单] 匆促
sacks,[三单] 麻布袋
sails,[三单] 帆
samples,[三单] 样品
saves,[三单] 救球
vt. 解救
says,[三单] 说
scales,[三单] 刻度
scares,[三单] 惊吓
screens,[三单] 幕
screws,[三单] 螺旋
seals,[三单] 印章
searches,[三单] 搜寻
seats,[三单] 座
sees,[三单] 看见
seeds,[三单] 种子
seeks,[三单] 寻求
seems,[三单] 象是
sells,[三单] 卖
sends,[三单] 发送
senses,[三单] 感应
serves,[三单] 可作...用
services,[三单] 服务
sets,[三单] 日落
settles,[三单] 有背长椅
vt. 决定
sews,[三单] 缝纫
shades,[三单] 荫
shakes,[三单] 摇动
shalls,aux. [三单] 将
shapes,[三单] 形状
shares,[三单] 部分
sheds,[三单] 车棚
shifts,[三单] 变化
shines,[三单] 光泽
ships,[三单] 船
shocks,[三单] 震动
shops,[三单] 商店
shoulds,aux. [三单] 应该
shouts,[三单] 呼喊
shows,[三单] 显示
sides,[三单] 旁边
signs,[三单] 符号
sings,[三单] 唱
sinks,[三单] 藏垢的场所
sips,[三单] 啜饮
sits,[三单] 坐
sizes,[三单] 大小
skis,[三单] 滑雪橇
vi. 滑雪
sleeps,[三单] 睡眠
slides,[三单] 滑
slips,[三单] 滑
slopes,[三单] 倾斜
smashes,[三单] 打碎
smells,[三单] 味道
smiles,[三单] 微笑
smokes,[三单] 烟
snakes,[三单] 蛇
snaps,[三单] 使突然中断
snows,[三单] 雪
sobs,[三单] 啜泣
solves,[三单] 解决
sorts,[三单] 种类
sounds,[三单] 声音
sows,[三单] 母猪
speaks,[三单] 说
speeds,[三单] 速率
spells,[三单] 符咒
spends,[三单] 花费
spins,[三单] 旋转
spites,[三单] 恶意
splits,[三单] 劈开
spots,[三单] 污点
sprays,[三单] 水沫
spreads,[三单] 传播
springs,[三单] 春天
spies,[三单] 间谍
squares,[三单] 正方形
staffs,[三单] 全体人员
stages,[三单] 阶段
stamps,[三单] 印
stands,[三单] 站立
stars,[三单] 星
stares,[三单] 注视
starts,[三单] 惊起
states,[三单] 州
stays,[三单] 停留
steals,vi. 窃取 n.偷窃
steers,[三单] 引导
stems,[三单] 茎
steps,[三单] 步骤
sticks,[三单] 棍
stirs,[三单] 骚动
stops,[三单] 停止
stores,[三单] 商店
storms,[三单] 暴风雨
stresses,[三单] 压力
strikes,[三单] 罢工
strips,[三单] 长条
studies,[三单] 学习
stuffs,[三单] 原料
styles,[三单] 风格
subs,[三单] 补充人员
subjects,[三单] 科目
sucks,[三单] 吸
suffers,[三单] 遭受
suggests,[三单] 提议
suits,[三单] 套装
sums,[三单] 总数
supplies,[三单] 补给
supports,[三单] 支持
surprises,[三单] 惊奇
surveys,[三单] 纵览
swears,[三单] 发誓
sweats,[三单] 汗
sweeps,[三单] 扫除
swims,[三单] 游泳
swings,[三单] 摇摆
tags,[三单] 标签
takes,[三单] 拿
talks,[三单] 谈话
tans,[三单] 黄褐色
targets,[三单] 目标
tastes,[三单] 味道
teaches,[三单] 教
tears,[三单] 泪滴
tees,[三单] T字形
tells,[三单] 告诉
tends,[三单] 走向
tests,[三单] 测试
texts,[三单] 文本
thanks,[三单] 谢意
thinks,[三单] 想
throws,[三单] 投
tides,[三单] 潮
ties,[三单] 带子
times,[三单] 时间
tips,[三单] 顶
tires,[三单] 轮胎
tones,[三单] 音调
tops,[三单] 顶部
totals,[三单] 全体的
touches,[三单] 触觉
tours,[三单] 旅游
tracks,[三单] 轨迹
trades,[三单] 贸易
trains,[三单] 火车
traps,[三单] 圈套
travels,[三单] 旅行
treats,[三单] 宴请
trends,[三单] 趋势
tricks,[三单] 诡计
trips,[三单] 旅行
trusts,[三单] 信任
tries,[三单] 尝试
tunes,[三单] 歌曲
turns,[三单] 转弯
twins,[三单] 双胞胎中一人
twists,[三单] 一扭
types,[三单] 类型
undoes,[三单] 解开
unites,[三单] 联合
upsets,[三单] 弄翻的
urges,[三单] 冲动
uses,[三单] 使用
values,[三单] 价值
varies,[三单] 改变
vies,[三单] 争
views,[三单] 视野
visits,[三单] 拜访
voices,[三单] 声音
votes,[三单] 投票
vows,[三单] 誓约
waits,[三单] 等待
wakes,[三单] 叫醒
walks,[三单] 走
wants,[三单] 需要的东西
wars,[三单] 战争
warns,[三单] 警告
washes,[三单] 洗
wastes,[三单] 浪费
watches,[三单] 观察
waves,[三单] 波
wears,[三单] 穿着
weds,[三单] 与...结婚
weighs,[三单] 称...重量
wheels,[三单] 轮子
whips,[三单] 鞭子
wins,[三单] 赢得
winds,[三单] 风
wings,[三单] 翅膀
wipes,[三单] 擦拭
wires,[三单] 电线
wishes,[三单] 希望
wonders,[三单] 奇迹
worries,[三单] 担心
worths,[三单] 价值
woulds,aux. [三单] 将
wounds,[三单] 创伤
wraps,[三单] 外套
writes,[三单] 书写
yawns,[三单] 哈欠
vi. 打哈欠
zips,[三单] 尖啸声
zones,[三单] 地带
cancels,v. [三单] 取消 n. 取消，撤销
monitors,n. [三单] 监视器 v. 监控
advises,v. [三单] 建议
expresses,v. [三单] 表达 adj. 明确的 n. 快车，快递，专使
discovers,v. [三单] 发现
collects,v. [三单] 收集 adv. 由收件人付款地 adj. 由收件人付款的 n. (Collect)人名
centres,v. [三单] 以…为中心 n. 中心 adj. 中央的
retells,v. [三单] 复述
examines,v. [三单] 检查
connects,v. [三单] 连接
overcoats,n. [三单] 大衣，外套
engineers,n. [三单] 工程师 v. 设计
dismisses,v. [三单] 解散
streams,n. [三单] 溪流 v. 流
disturbs,v. [三单] 打扰
succeeds,v. [三单] 成功
weathers,n. [三单] 天气 v. 经受住 adj. 露天的
fetches,v. [三单] 取来 n. 取得
affords,v. [三单] 给予，提供 n. (Afford)人名
addresses,v. [三单] 演说 n. 地址
licenses,n. [三单] 执照，许可证 v. 许可
counts,v. [三单] 计算 n. 计数
progresses,n. [三单] 进步，发展 v. 前进，进步
promises,n. [三单] 许诺，允诺 v. 允诺，许诺
translates,v. [三单] 翻译
silences,n. [三单] 沉默 v. 使沉默 int. 安静！
pronounces,v. [三单] 发音
separates,v. [三单] 使分离 adj. 单独的 n. 分开
regrets,n. [三单] 遗憾 v. 后悔
presents,v. [三单] 提出 adj. 现在的 n. 现在
encourages,v. [三单] 鼓励，怂恿
pencils,n. [三单] 铅笔 v. 用铅笔写
surfaces,n. [三单] 表面 adj. 表面的，肤浅的 v. 浮出水面
interviews,n. [三单] 接见，采访 v. 采访
chants,n. [三单] 圣歌 v. 唱
packages,n. [三单] 包，包裹 adj. 一揽子的 v. 打包
experiences,n. [三单] 经验 v. 经验
punishes,v. [三单] 惩罚
monkeys,n. [三单] 猴子 v. 胡闹
troubles,n. [三单] 麻烦 v. 麻烦
corrects,v. [三单] 改正 adj. 正确的
accents,n. [三单] 口音 v. 强调
influences,n. [三单] 影响 v. 影响
skates,v. [三单] 滑冰 n. 溜冰
excuses,n. [三单] 借口 v. 原谅
welcomes,adj. [三单] 受欢迎的 n. 欢迎 v. 欢迎 int. 欢迎
kites,n. [三单] 风筝 v. 使用空头支票
mirrors,n. [三单] 镜子 v. 反射
repairs,v. [三单] 修理 n. 修理，修补
improves,v. [三单] 改善，增进
achieves,v. [三单] 取得
prevents,v. [三单] 预防，防止
introduces,v. [三单] 介绍
excites,v. [三单] 激起
supposes,v. [三单] 假设 conj. 假使…结果会怎样
mentions,v. [三单] 提到，谈到 n. 提及，说起
communicates,v. [三单] 通讯，传达
experiments,v. [三单] 尝试 n. 实验，试验
aches,v. [三单] 疼痛 n. 疼痛
threads,n. [三单] 线 v. 穿过
recites,v. [三单] 背诵
sentences,n. [三单] [语][计] 句子，命题 v. 判决，宣判
praises,n. [三单] 赞扬 v. 赞美，歌颂
exercises,n. [三单] 运动 v. 锻炼
mends,v. [三单] 修理，修补 n. 好转，改进
invents,v. [三单] 发明
pretends,v. [三单] 假装， 佯作
photographs,v. [三单] 拍照 n. 照片，相片
frustrates,v. [三单] 使沮丧， 使灰心
performs,v. [三单] 做， 履行， 完成
concentrates,v. [三单] 全神贯注，全力以赴 n.  浓缩物， 浓缩液
understands,v. [三单] [understood-understood] 理解， 懂
peels,v. [三单] 削…的皮，剥…的壳 n.  皮
manners,n. [三单] 方式，方法
traffics,v. [三单] 交易 n. 流动的车辆或行人，交通
recycles,v. [三单] 回收利用， 再应用
offends,v. [三单] 冒犯， 得罪
destroys,v. [三单] 破坏， 毁灭
stomaches,v. [三单] 承受， 忍受 n. 胃，胃口
balances,v. [三单] 使平衡， 使均衡 n. 天平，称
thrills,n. [三单] 兴奋， 激动
combines,v. [三单] 联合，结合 n.  联合企业
labors,n. [三单] 劳动
hungers,v. [三单] 渴望， 渴望得到 n. 饿，饥饿
comments,v. [三单] 评论 n. 评论，意见
educates,v. [三单] 教育
retires,v. [三单] 退休， 退役
exchanges,v. [三单] 调换， n. 交换，互换
behaves,v. [三单] 表现
mistakes,n. [三单] 〔行为、看法、言辞等上的〕错误 v. 弄错，误解，误会
silvers,v. [三单] 镀银 n. 银
honors,v. [三单] 尊敬 n. 尊敬，敬意
predicts,v. [三单] 预言， 预测
donates,v. [三单] 捐赠， 赠送
mights,verb. 可以〔用于礼貌地提出建议〕 n. 力量
volunteers,v. [三单] 自愿 n. 志愿者，志愿兵
strings,n. [三单] 弦， 线， 细绳
colors,n. [三单] 颜色 vt.  给…着色
displays,n&v. [三单] 陈列， 展览
criticizes,v. [三单] 批评
forbids,v. [三单] [forbade-forbidden] 不许， 禁止
surfs,v. [三单] 冲浪 n. 拍岸浪花
complains,v. [三单] 抱怨， 诉苦
injures,v. [三单] 伤害， 损害， 损伤
freezes,v. [三单] （使）结冰，（使）冻结 n. 〔价格、工资等的〕冻结
pierces,v. [三单] 刺穿， 刺破， 穿透
dislikes,n&v. [三单] 不喜欢， 讨厌
impresses,v. [三单] 给…深刻印象， 使铭记
features,n. [三单] 特征，特色
organizes,v. [三单] 组织， 安排
satisfies,v. [三单] 满足， 满意
challenges,v. [三单] 向…挑战 n. 挑战，艰巨任务
rewrites,v. [三单] 改写 n. 重写或改写的文稿
simplifies,v. [三单] 简化
foresees,v. [三单] 预见
contradicts,v. [三单] 反驳
persuades,v. [三单] 说服，劝说 adj. 空闲的，有闲的
surrounds,v. [三单] 围绕 n. 围绕物 adj. 环绕立体声的
distributes,v. [三单] 分配
postpones,v. [三单] 使…延期
panics,n. [三单] 恐慌，惊慌 adj. 恐慌的 v. 使恐慌
disappears,v. [三单] 消失
amuses,v. [三单] 娱乐
publishes,v. [三单] 出版
terrifies,v. [三单] 恐吓
disappoints,v. [三单] 使失望
explodes,v. [三单] 爆炸，爆发
worns,adj. [三单] 疲倦的 v. 穿 n. (Worn)人名
semicircles,n. [三单] 半圆，半圆形
envies,n. [三单] 嫉妒，妒忌 v. 嫉妒，妒忌
grasps,n. [三单] 抓住 v. 抓住
minuses,prep. [三单] 减，减去 n. 负号，减号 adj. 减的
bathes,v. [三单] 沐浴 n. 洗澡
substitutes,n. [三单] 代用品 v. 替代
carves,v. [三单] 雕刻 n. (Carve)人名
yells,v. [三单] 大叫，叫喊 n. 喊声，叫声
resigns,v. [三单] 辞职 n. 辞去职务
discourages,v. [三单] 阻止
attains,v. [三单] 达到，实现 n. 成就
liberates,v. [三单] 解放
discounts,n. [三单] 折扣 v. 贴现
deposits,n. [三单] 存款 v. 使沉积
purchases,n. [三单] 购买 v. 购买
appoints,v. [三单] 任命
favours,n. [三单] 偏爱 v. 赞成
competes,v. [三单] 竞争
conducts,v. [三单] 导电 n. 进行
abandons,n. [三单] 放任 v. 遗弃
documents,n. [三单] 文件，公文 v. 用文件证明
teases,v. [三单] 取笑 n. 戏弄
parallels,n. [三单] 平行线 v. 使…与…平行 adj. 平行的
explores,v. [三单] 探索
warehouses,n. [三单] 仓库 v. 储入仓库
abolishes,v. [三单] 废除，废止
frightens,v. [三单] 使惊吓
exploits,v. [三单] 开发，开拓 n. 勋绩
ripens,v. [三单] 使成熟
governs,v. [三单] 管理 n. (Govern)人名
skateboards,n. [三单] 溜冰板 v. 用滑板滑行
appreciates,v. [三单] 欣赏
arches,n. [三单] 弓形，拱形 adj. 主要的 v. 使…弯成弓形
ticks,v. [三单] 标记号于 n. 滴答声
functions,n. [三单] 功能 v. 运行
classifies,v. [三单] 分类
oughts,aux. [三单] 应该，应当 vi. 应该，应当
transforms,v. [三单] 改变，使…变形
drowns,v. [三单] 淹没 n. (Drown)人名
cubes,n. [三单] 立方 v. 使成立方形
wrinkles,n. [三单] 皱纹 v. 起皱
boycotts,v. [三单] 联合抵制 n. 联合抵制
frosts,v. [三单] 结霜于 n. 霜
howls,v. [三单] 咆哮 n. 嗥叫
mourns,v. [三单] 哀悼
devotes,v. [三单] 致力于
redirects,v. [三单] 使改方向 adj. 再直接的 n. 再直接询问
selects,v. [三单] 挑选 adj. 精选的 n. 被挑选者
overlooks,v. [三单] 忽略 n. 忽视
wanders,v. [三单] 徘徊 n. (Wander)人名
shores,v. [三单] 支撑，使稳住 n. 海滨
decorates,v. [三单] 装饰
evaluates,v. [三单] 评价
switches,v. [三单] 转换 n. 开关
swallows,v. [三单] 忍受 n. 燕子
stockings,n. [三单] 长袜
calculates,v. [三单] 计算
downloads,v. [三单] [计] 下载
pines,v. [三单] 渴望，痛苦 n. [林] 松树 adj. 松木的
astonishes,v. [三单] 使惊讶
roasts,v. [三单] 烤，焙 adj. 烘烤的 n. 烤肉
scars,v. [三单] 伤害 n. 创伤
spits,v. [三单] 吐痰 n. 唾液
bangs,n. [三单] 刘海 adv. 直接地 v. 重击
gruels,vt. [三单] 使极度疲劳 n. 稀粥
honours,n. [三单] 荣誉 v. 尊敬
organises,v. [三单] 组织起来
hammers,v. [三单] 锤击 n. 铁锤
perfumes,n. [三单] 香水 v. 洒香水于…
measures,n. [三单] 测量 v. 测量
outlines,n. [三单] 轮廓 v. 概述
shaves,v. [三单] 剃须，剃毛 n. 刮脸，剃胡子
postcodes,n. [三单] （英）邮政编码
swells,v. [三单] 膨胀 n. 肿胀 adj. 漂亮的
allocates,v. [三单] 分配
corresponds,v. [三单] 符合，一致
bounces,n. [三单] 跳 v. 弹跳
disobeys,v. [三单] 违反
digests,v. [三单] 消化 n. 文摘
disagrees,v. [三单] 不同意
approves,v. [三单] 批准
hatches,n. [三单] 孵化 v. 孵
promotes,v. [三单] 促进
replaces,v. [三单] 取代，代替
trembles,v. [三单] 发抖 n. 颤抖
submits,v. [三单] 使服从
cheerses,v. [三单] 感谢
dives,v. [三单] 潜水 n. 潜水
schedules,v. [三单] 安排，计划 n. 时间表
concludes,v. [三单] 推断
rebuilds,v. [三单] 重建
withdraws,v. [三单] 撤退
delivers,v. [三单] 交付 n. 投球
resembles,v. [三单] 类似，像
rewinds,n. [三单] 重绕 v. 倒回
hibernates,v. [三单] 过冬
broadcasts,v. [三单] 播送，播放 n. 广播 adj. 广播的
constructs,v. [三单] 建造，构造 n. 构想，概念
anchors,n. [三单] 锚 v. 抛锚 adj. 末棒的
sneezes,v. [三单] 打喷嚏 n. 喷嚏
deserves,v. [三单] 应受，应得
associates,v. [三单] 交往 n. 同事，伙伴 adj. 副的
declares,v. [三单] 宣布，声明
recommends,v. [三单] 推荐，介绍
convinces,v. [三单] 说服
formats,n. [三单] 格式 v. 使格式化
drills,n. [三单] 训练 v. 钻孔
opposes,v. [三单] 反对
compromises,v. [三单] 妥协 n. 妥协，和解
weeds,v. [三单] 除草 n. 杂草，野草
unfolds,v. [三单] 打开
exposes,v. [三单] 揭露，揭发
pollutes,v. [三单] 污染
bleeds,v. [三单] 使出血
consumes,v. [三单] 消耗，消费
refreshes,v. [三单] 更新
sacrifices,n. [三单] 牺牲 v. 牺牲
sharpens,v. [三单] 削尖
sponsors,n. [三单] 赞助者 v. 赞助
reserves,n. [三单] 储备，储存 v. 储备
arranges,v. [三单] 安排
underlines,v. [三单] 强调 n. 下划线
rewards,n. [三单] [劳经] 报酬 v. [劳经] 奖励
signals,n. [三单] 信号 v. 标志 adj. 显著的
declines,n. [三单] 下降 v. 下降
polishes,n. [三单] 磨光，擦亮 v. 擦亮，变光滑 adj. 波兰的
poisons,v. [三单] 污染 n. 毒药，毒物 adj. 有毒的
transports,n. [三单] 运输 v. 运输
erupts,v. [三单] 爆发
shelters,n. [三单] 庇护 v. 保护
permits,v. [三单] 许可 n. 许可证，执照
obtains,v. [三单] 获得
colours,v. [三单] 把…涂颜色，粉饰 n. 颜色
requests,n. [三单] 请求 v. 要求，请求
absorbs,v. [三单] 吸收
multiplies,v. [三单] 乘 adv. 多样地 adj. 多层的
overcomes,v. [三单] 克服
advocates,v. [三单] 提倡，主张，拥护 n. 提倡者
scans,v. [三单] 扫描 n. 扫描
zooms,n. [三单] 急速上升 v. 急速上升
conveys,v. [三单] 传达
confirms,v. [三单] 确认
scratches,n. [三单] 擦伤 adj. 打草稿用的 v. 抓
patents,v. [三单] 授予专利 adj. 专利的 n. 专利权
labours,n. [三单] 劳动力，人工 v. 劳动
contains,v. [三单] 包含
comforts,n. [三单] 安慰 v. 安慰
applauds,v. [三单] 赞同
inspires,v. [三单] 激发
screams,v. [三单] 尖叫 n. 尖叫声
attracts,v. [三单] 吸引
negotiates,v. [三单] 谈判，商议
memorizes,v. [三单] 记住，背熟
wrestles,n. [三单] 摔跤 v. 摔跤
insures,v. [三单] 确保，保证
recovers,v. [三单] 恢复 n. 还原至预备姿势
consists,v. [三单] 由…组成
circulates,v. [三单] 传播，流传
accomplishes,v. [三单] 完成
struggles,v. [三单] 奋斗，努力 n. 努力，奋斗
decreases,n. [三单] 减少，减小 v. 减少，减小
inserts,v. [三单] 插入 n. 插入物
forecasts,v. [三单] 预报，预测 n. 预测，预报
delights,n. [三单] 高兴 v. 高兴
registers,v. [三单] 登记 n. 登记
apologizes,v. [三单] 道歉
harbours,v. [三单] 藏匿 n. 海港（等于harbor）
respects,n. [三单] 尊敬，尊重 v. 尊敬，尊重
refers,v. [三单] 参考
possesses,v. [三单] 控制
accelerates,v. [三单] 使……加快
instructs,v. [三单] 指导
accumulates,v. [三单] 累积
